data,ise_b3,ibrx100
2015-01-02,2376.24,20117.09
2015-01-05,2334.26,19711.89
2015-01-06,2366.09,19883.88
2015-01-07,2436.19,20464.78
2015-01-08,2438.58,20632.89
2015-01-09,2379.36,20186.02
2015-01-12,2364.84,19931.07
2015-01-13,2351.07,19877.25
2015-01-14,2326.37,19740.88
2015-01-15,2334.66,19873.4
2015-01-16,2388.38,20276.72
2015-01-19,2332.79,19781.99
2015-01-20,2324.21,19820.84
2015-01-21,2369.68,20350.16
2015-01-22,2367.16,20435.34
2015-01-23,2327.08,20181.64
2015-01-26,2305.17,20096.06
2015-01-27,2303.01,20100.97
2015-01-28,2301.5,19772.87
2015-01-29,2306.93,19814.06
2015-01-30,2291.61,19485.08
2015-02-02,2334.3,19770.16
2015-02-03,2375.49,20270.11
2015-02-04,2385.72,20389.08
2015-02-05,2383.02,20386.8
2015-02-06,2376.92,20216.04
2015-02-09,2405.72,20449.37
2015-02-10,2372.65,20120.55
2015-02-11,2371.14,19990.93
2015-02-12,2412.51,20491.34
2015-02-13,2462.6,20909.3
2015-02-18,2493.22,21179.17
2015-02-19,2492.79,21199.11
2015-02-20,2492.81,21161.08
2015-02-23,2481.78,21188.26
2015-02-24,2498.49,21427.62
2015-02-25,2504.13,21410.86
2015-02-26,2510.96,21405.86
2015-02-27,2486.91,21302.1
2015-03-02,2458.61,21090.98
2015-03-03,2466.09,21208.54
2015-03-04,2430.29,20880.31
2015-03-05,2420.84,20845.74
2015-03-06,2414.81,20686.93
2015-03-09,2390.17,20374.83
2015-03-10,2362.96,20022.13
2015-03-11,2374.72,20269.0
2015-03-12,2384.6,20284.32
2015-03-13,2373.95,20162.75
2015-03-16,2378.79,20249.32
2015-03-17,2436.61,20794.2
2015-03-18,2476.01,21296.35
2015-03-19,2453.71,21082.17
2015-03-20,2495.87,21471.9
2015-03-23,2484.67,21441.14
2015-03-24,2464.22,21293.94
2015-03-25,2476.72,21428.75
2015-03-26,2421.01,20932.2
2015-03-27,2399.22,20760.07
2015-03-30,2440.6,21217.5
2015-03-31,2433.79,21194.72
2015-04-01,2458.56,21656.06
2015-04-02,2478.88,21969.07
2015-04-06,2500.89,22228.6
2015-04-07,2497.53,22216.41
2015-04-08,2492.96,22199.82
2015-04-09,2489.82,22238.93
2015-04-10,2490.79,22386.68
2015-04-13,2486.78,22392.77
2015-04-14,2479.36,22303.83
2015-04-15,2505.11,22647.0
2015-04-16,2494.86,22549.31
2015-04-17,2460.6,22267.45
2015-04-20,2452.79,22191.13
2015-04-22,2498.26,22507.53
2015-04-23,2552.54,22913.43
2015-04-24,2583.56,23242.73
2015-04-27,2551.02,22838.66
2015-04-28,2561.94,22922.89
2015-04-29,2559.02,22787.9
2015-04-30,2601.48,23126.62
2015-05-04,2654.68,23572.79
2015-05-05,2699.66,23847.65
2015-05-06,2655.07,23503.42
2015-05-07,2638.11,23440.01
2015-05-08,2641.18,23550.72
2015-05-11,2654.57,23573.4
2015-05-12,2629.55,23415.49
2015-05-13,2600.79,23246.44
2015-05-14,2616.74,23383.69
2015-05-15,2636.04,23634.58
2015-05-18,2589.98,23228.29
2015-05-19,2576.19,22966.89
2015-05-20,2549.01,22731.24
2015-05-21,2548.65,22810.06
2015-05-22,2528.85,22520.63
2015-05-25,2556.58,22616.98
2015-05-26,2514.6,22205.49
2015-05-27,2546.96,22447.87
